series,run_id,total_energy_wh,mean_power_w,peak_power_w,power_std_w,spike_count,avg_voltage_v,avg_current_a,avg_temp_c,power_cv,unit_task_energy_wh,estimated_carbon_kg
本机-优化前,1,6.162186313384977,36.973117880309864,56.2122278029237,4.95494982942049,14,11.655719151161092,2.4751058217134134,32.5090620612072,0.13401493067100143,6.162186313384977,0.003228985628213728
本机-优化前,2,6.175096895158855,37.05058137095313,58.93625999560067,5.010108991408023,12,11.65839633390542,2.4796472092303947,32.733562794848595,0.13522349194055674,6.175096895158855,0.0032357507730632405
本机-优化前,3,6.147546694548621,36.885280167291725,60.02710616897789,4.998266673162891,16,11.6524000021292,2.4698442394317497,32.52638180626878,0.13550843725446712,6.147546694548621,0.0032213144679434772
本机-优化前,4,6.146663252170594,36.879979513023564,52.04175433537448,4.738321286455524,9,11.65259834175684,2.4693368574403514,32.698584800681374,0.12847949887776547,6.146663252170594,0.0032208515441373912
本机-优化前,5,6.170436922918132,37.02262153750879,56.626819983320274,4.919889131636507,12,11.653255459676217,2.4788537555442214,33.29247285910385,0.1328887293043798,6.170436922918132,0.003233308947609101
本机-优化前,6,6.126258364360081,36.757550186160486,58.2097764311636,4.863978333648182,9,11.65302512178421,2.4612421941029172,32.54712292325991,0.13232596593119825,6.126258364360081,0.0032101593829246826
本机-优化前,7,6.148178330974198,36.88906998584519,54.07572114911784,4.85681246911376,9,11.657575051748088,2.468909542957532,32.637364094617546,0.13165993262983808,6.148178330974198,0.0032216454454304802
本机-优化前,8,6.138239183307546,36.82943509984528,58.39339450498313,4.811553424145632,6,11.653424451080442,2.4658375265053314,32.6418279249953,0.1306442363588098,6.138239183307546,0.003216437332053154
本机-优化后,1,4.438361258896371,26.630167553378225,43.731457689597974,3.479597695473819,6,11.751160494754686,1.9722950571148814,32.110274396511166,0.13066375525047746,4.438361258896371,0.002325701299661698
本机-优化后,2,4.437683011047356,26.626098066284136,39.22715343043237,3.4524914465029943,5,11.756782472672644,1.9709758739582526,32.322574929839355,0.12966569258132438,4.437683011047356,0.0023253458977888146
本机-优化后,3,4.447669313629327,26.686015881775962,41.15838911859936,3.5489296066691165,3,11.75543955333547,1.9756959862597272,32.47295971937628,0.13298836448241425,4.447669313629327,0.0023305787203417674
本机-优化后,4,4.425699266312865,26.55419559787719,39.54494458168599,3.5047211070037356,3,11.757593324536964,1.9655313116542648,31.953564688843944,0.13198370457450093,4.425699266312865,0.0023190664155479414
本机-优化后,5,4.444997776586681,26.669986659520085,37.6419068411079,3.441095433166407,5,11.755250647953556,1.974507114844297,32.575922975212826,0.12902501516393064,4.444997776586681,0.002329178834931421
本机-优化后,6,4.476703546617842,26.860221279707055,43.89516859193362,3.447001124002755,5,11.757343062711,1.988127307388003,32.50840557017874,0.12833107695233212,4.476703546617842,0.0023457926584277496
